Step,Intermediate (Substrate),Enzyme,EC,Gene,Product,Compound,Other Pathway Connections/Alternatives,aux_availible,shared_enzyme,shared_compound,pathway,step_in_pathway,shared_enzyme_amount,shared_compound_amount,shared_ec_list,shared_ec_count,shared_compound_list,shared_compound_count,
Q1,Citrate,Aconitase,4.2.1.3,citB,Isocitrate,C00311,–,TRUE,"['E0', 'P1', 'R1']","['E0', 'P1', 'R1']",Q,1,3,3,"['R01900', 'R01325', 'R01324', 'R01324', 'R01325', 'R01900', 'R01324', 'R01324', 'R01900', 'R01325', 'R01900', 'R01325', 'R01900', 'R01325']",14,"['R01899', 'R00267', 'R01900', 'R01324', 'R01899', 'R01899', 'R00267', 'R00267', 'R01324', 'R01900', 'R01899', 'R01324', 'R00709', 'R01324', 'R00267', 'R01899', 'R01900', 'R01900', 'R00267', 'R01900', 'R00267']",21,Bs
Q2,Isocitrate,Isocitrate Dehydrogenase,1.1.1.42,icd,α‑Ketoglutarate,C00026,Generates NADPH.,TRUE,"['E1', 'P2', 'R2']","['E1', 'P2', 'R2']",Q,2,3,3,"['R01899', 'R00268', 'R00267', 'R01899', 'R00268', 'R01899', 'R00268', 'R00267', 'R00267', 'R01899', 'R00268', 'R00267', 'R00268', 'R01899', 'R00267', 'R00267']",16,"['R00268', 'R01648', 'R00093', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R03243', 'R02283', 'R01214', 'R01148', 'R01684', 'R08165', 'R00895', 'R05085', 'R08549', 'R00267', 'R00355', 'R00258', 'R04467', 'R10991', 'R00264', 'R00269', 'R02433', 'R02274', 'R10698', 'R01197', 'R00268', 'R00734', 'R00355', 'R00667', 'R02283', 'R00093', 'R08165', 'R01214', 'R03243', 'R04467', 'R10698', 'R04173', 'R00268', 'R00267', 'R08549', 'R04173', 'R00021', 'R04475', 'R01648', 'R00243', 'R02274', 'R00267', 'R04173', 'R08549', 'R00355', 'R00355', 'R00268', 'R00709', 'R02283', 'R01214', 'R01090', 'R02199', 'R08549', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00267', 'R00355', 'R02283', 'R04475', 'R04467', 'R00114', 'R03243', 'R05085', 'R01214', 'R08165', 'R00621', 'R00268', 'R11768', 'R00908', 'R01648', 'R00267', 'R04173', 'R00114', 'R00243', 'R00355', 'R00114', 'R00243', 'R01648', 'R00269', 'R04173', 'R02433', 'R02619', 'R00896', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02283', 'R00355', 'R00667', 'R05052', 'R03243', 'R00734', 'R00734', 'R00694', 'R00694', 'R01582', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R01148', 'R01582', 'R00267', 'R05085', 'R01214', 'R00621', 'R08165', 'R00734', 'R00734', 'R10698']",134,Bs
Q3,α‑Ketoglutarate,Aspartate Aminotransferase,2.6.1.1,yhdR/aspB,L‑Glutamate,C00025,Reversible amination reaction.,TRUE,"['K0', 'T0', 'M0', 'I0', 'E2', 'P3', 'R3']","['E2', 'P3', 'R3']",Q,3,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00768', 'R01648', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R04558', 'R03243', 'R02285', 'R00239', 'R00259', 'R02283', 'R01214', 'R04463', 'R00575', 'R00494', 'R00260', 'R01684', 'R02237', 'R00253', 'R00895', 'R05085', 'R03651', 'R03905', 'R00355', 'R00258', 'R04467', 'R10991', 'R00251', 'R02433', 'R02274', 'R00245', 'R03916', 'R01072', 'R10698', 'R10089', 'R00734', 'R00355', 'R01072', 'R04463', 'R00667', 'R02283', 'R00259', 'R01214', 'R04558', 'R03243', 'R04467', 'R10698', 'R00239', 'R04173', 'R00253', 'R00575', 'R04173', 'R00253', 'R04475', 'R01648', 'R00243', 'R02274', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R00239', 'R00253', 'R04475', 'R04467', 'R03243', 'R04558', 'R00768', 'R05085', 'R01214', 'R02237', 'R04241', 'R00942', 'R05578', 'R00575', 'R10089', 'R00768', 'R00253', 'R00908', 'R01648', 'R04173', 'R00253', 'R00243', 'R01072', 'R04463', 'R00575', 'R00578', 'R00355', 'R00243', 'R01648', 'R00253', 'R00256', 'R00575', 'R00707', 'R00768', 'R01072', 'R04173', 'R02433', 'R02619', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02282', 'R02283', 'R00259', 'R00253', 'R00256', 'R00355', 'R00575', 'R00667', 'R00245', 'R00239', 'R05052', 'R02285', 'R03243', 'R04558', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R03970', 'R03971', 'R00260', 'R03916', 'R00494', 'R00251', 'R10089', 'R05085', 'R01214', 'R04241', 'R00942', 'R02237', 'R02237', 'R00239', 'R00734', 'R00734', 'R10698', 'R03905', 'R03651', 'R04212', 'R05578']",172,Bs
Q4,L‑Glutamate,Glutamine Synthetase,6.3.1.2,glnA,L‑Glutamine,C00064,ATP‑dependent amidation; key nitrogen donor.,TRUE,[],[],Q,4,0,0,"['R00253', 'R00253', 'R00253', 'R00253', 'R00253', 'R00253', 'R00253', 'R00253']",8,"['R00768', 'R00093', 'R04558', 'R04463', 'R00575', 'R00579', 'R00253', 'R03905', 'R01072', 'R10089', 'R01072', 'R04463', 'R00093', 'R04558', 'R00253', 'R00575', 'R00253', 'R00021', 'R00253', 'R00114', 'R04558', 'R00768', 'R00575', 'R10089', 'R00768', 'R00253', 'R00253', 'R00114', 'R01072', 'R04463', 'R00575', 'R00578', 'R00114', 'R00253', 'R00256', 'R00575', 'R00768', 'R01072', 'R12507', 'R00253', 'R00256', 'R00575', 'R04558', 'R00579', 'R10089', 'R03905', 'R04212']",47,Bs
P0,Oxaloacetate + Acetyl‑CoA,Citrate Synthase,2.3.3.1,citA,Citrate,C00158,First step of the TCA cycle.,FALSE,"['A0', 'Q0', 'R0']","['A0', 'Q0', 'R0']",P,0,3,3,"['R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351']",10,"['R00351', 'R01325', 'R01324', 'R00351', 'R00351', 'R00351', 'R01324', 'R00351', 'R01325', 'R01324', 'R00351', 'R01324', 'R01325', 'R00351', 'R00351', 'R01325', 'R00351', 'R00351', 'R01325']",19,Bs
P1,Citrate,Aconitase,4.2.1.3,citB,Isocitrate,C00311,–,TRUE,"['E0', 'Q1', 'R1']","['E0', 'Q1', 'R1']",P,1,3,3,"['R01900', 'R01325', 'R01324', 'R01324', 'R01325', 'R01900', 'R01324', 'R01324', 'R01900', 'R01325', 'R01900', 'R01325', 'R01900', 'R01325']",14,"['R01899', 'R00267', 'R01900', 'R01324', 'R01899', 'R01899', 'R00267', 'R00267', 'R01324', 'R01900', 'R01899', 'R01324', 'R00709', 'R01324', 'R00267', 'R01899', 'R01900', 'R01900', 'R00267', 'R01900', 'R00267']",21,Bs
P2,Isocitrate,Isocitrate Dehydrogenase,1.1.1.42,icd,α‑Ketoglutarate,C00026,Generates NADPH.,TRUE,"['E1', 'Q2', 'R2']","['E1', 'Q2', 'R2']",P,2,3,3,"['R01899', 'R00268', 'R00267', 'R01899', 'R00268', 'R01899', 'R00268', 'R00267', 'R00267', 'R01899', 'R00268', 'R00267', 'R00268', 'R01899', 'R00267', 'R00267']",16,"['R00268', 'R01648', 'R00093', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R03243', 'R02283', 'R01214', 'R01148', 'R01684', 'R08165', 'R00895', 'R05085', 'R08549', 'R00267', 'R00355', 'R00258', 'R04467', 'R10991', 'R00264', 'R00269', 'R02433', 'R02274', 'R10698', 'R01197', 'R00268', 'R00734', 'R00355', 'R00667', 'R02283', 'R00093', 'R08165', 'R01214', 'R03243', 'R04467', 'R10698', 'R04173', 'R00268', 'R00267', 'R08549', 'R04173', 'R00021', 'R04475', 'R01648', 'R00243', 'R02274', 'R00267', 'R04173', 'R08549', 'R00355', 'R00355', 'R00268', 'R00709', 'R02283', 'R01214', 'R01090', 'R02199', 'R08549', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00267', 'R00355', 'R02283', 'R04475', 'R04467', 'R00114', 'R03243', 'R05085', 'R01214', 'R08165', 'R00621', 'R00268', 'R11768', 'R00908', 'R01648', 'R00267', 'R04173', 'R00114', 'R00243', 'R00355', 'R00114', 'R00243', 'R01648', 'R00269', 'R04173', 'R02433', 'R02619', 'R00896', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02283', 'R00355', 'R00667', 'R05052', 'R03243', 'R00734', 'R00734', 'R00694', 'R00694', 'R01582', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R01148', 'R01582', 'R00267', 'R05085', 'R01214', 'R00621', 'R08165', 'R00734', 'R00734', 'R10698']",134,Bs
P3,α‑Ketoglutarate,Aspartate Aminotransferase,2.6.1.1,yhdR/aspB,L‑Glutamate,C00025,Reversible amination reaction.,TRUE,"['K0', 'T0', 'M0', 'I0', 'E2', 'Q3', 'R3']","['E2', 'Q3', 'R3']",P,3,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00768', 'R01648', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R04558', 'R03243', 'R02285', 'R00239', 'R00259', 'R02283', 'R01214', 'R04463', 'R00575', 'R00494', 'R00260', 'R01684', 'R02237', 'R00253', 'R00895', 'R05085', 'R03651', 'R03905', 'R00355', 'R00258', 'R04467', 'R10991', 'R00251', 'R02433', 'R02274', 'R00245', 'R03916', 'R01072', 'R10698', 'R10089', 'R00734', 'R00355', 'R01072', 'R04463', 'R00667', 'R02283', 'R00259', 'R01214', 'R04558', 'R03243', 'R04467', 'R10698', 'R00239', 'R04173', 'R00253', 'R00575', 'R04173', 'R00253', 'R04475', 'R01648', 'R00243', 'R02274', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R00239', 'R00253', 'R04475', 'R04467', 'R03243', 'R04558', 'R00768', 'R05085', 'R01214', 'R02237', 'R04241', 'R00942', 'R05578', 'R00575', 'R10089', 'R00768', 'R00253', 'R00908', 'R01648', 'R04173', 'R00253', 'R00243', 'R01072', 'R04463', 'R00575', 'R00578', 'R00355', 'R00243', 'R01648', 'R00253', 'R00256', 'R00575', 'R00707', 'R00768', 'R01072', 'R04173', 'R02433', 'R02619', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02282', 'R02283', 'R00259', 'R00253', 'R00256', 'R00355', 'R00575', 'R00667', 'R00245', 'R00239', 'R05052', 'R02285', 'R03243', 'R04558', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R03970', 'R03971', 'R00260', 'R03916', 'R00494', 'R00251', 'R10089', 'R05085', 'R01214', 'R04241', 'R00942', 'R02237', 'R02237', 'R00239', 'R00734', 'R00734', 'R10698', 'R03905', 'R03651', 'R04212', 'R05578']",172,Bs
P4,L‑Glutamate,Glutamate 5‑Kinase,2.7.2.11,proB,Glutamate‑5‑phosphate,C03287,First dedicated step for proline synthesis.,TRUE,[],[],P,4,0,0,"['R00239', 'R00239', 'R00239', 'R00239', 'R00239']",5,"['R03313', 'R00239', 'R03313', 'R00239', 'R00239', 'R03313', 'R00239', 'R03313', 'R00239', 'R03313']",10,Bs
P5,Glutamate‑5‑phosphate,Glutamate‑5‑Semialdehyde Dehydrogenase,1.2.1.41,proA,Glutamate‑5‑semialdehyde,C01165,This intermediate cyclizes to pyrroline‑5‑carboxylate.,TRUE,[],[],P,5,0,0,"['R03313', 'R03313', 'R03313', 'R03313', 'R03313']",5,"['R00667', 'R03313', 'R00245', 'R00667', 'R03313', 'R03313', 'R00667', 'R00245', 'R03313', 'R03313']",10,Bs
P6,Pyrroline‑5‑carboxylate,Pyrroline‑5‑Carboxylate Reductase,1.5.1.2,proG,L‑Proline,C00148,Final reduction step.,FALSE,[],[],P,6,0,0,"['R03291', 'R01248', 'R01248', 'R01248', 'R03291', 'R01248']",6,"['R01248', 'R01248', 'R01248', 'R01248', 'R01253', 'R03661']",6,Bs
R0,Oxaloacetate + Acetyl‑CoA,Citrate Synthase,2.3.3.1,citA,Citrate,C00158,First step of the TCA cycle.,FALSE,"['A0', 'Q0', 'P0']","['A0', 'Q0', 'P0']",R,0,3,3,"['R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351', 'R00351']",10,"['R00351', 'R01325', 'R01324', 'R00351', 'R00351', 'R00351', 'R01324', 'R00351', 'R01325', 'R01324', 'R00351', 'R01324', 'R01325', 'R00351', 'R00351', 'R01325', 'R00351', 'R00351', 'R01325']",19,Bs
R1,Citrate,Aconitase,4.2.1.3,citB,Isocitrate,C00311,–,TRUE,"['E0', 'Q1', 'P1']","['E0', 'Q1', 'P1']",R,1,3,3,"['R01900', 'R01325', 'R01324', 'R01324', 'R01325', 'R01900', 'R01324', 'R01324', 'R01900', 'R01325', 'R01900', 'R01325', 'R01900', 'R01325']",14,"['R01899', 'R00267', 'R01900', 'R01324', 'R01899', 'R01899', 'R00267', 'R00267', 'R01324', 'R01900', 'R01899', 'R01324', 'R00709', 'R01324', 'R00267', 'R01899', 'R01900', 'R01900', 'R00267', 'R01900', 'R00267']",21,Bs
R2,Isocitrate,Isocitrate Dehydrogenase,1.1.1.42,icd,α‑Ketoglutarate,C00026,Generates NADPH.,TRUE,"['E1', 'Q2', 'P2']","['E1', 'Q2', 'P2']",R,2,3,3,"['R01899', 'R00268', 'R00267', 'R01899', 'R00268', 'R01899', 'R00268', 'R00267', 'R00267', 'R01899', 'R00268', 'R00267', 'R00268', 'R01899', 'R00267', 'R00267']",16,"['R00268', 'R01648', 'R00093', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R03243', 'R02283', 'R01214', 'R01148', 'R01684', 'R08165', 'R00895', 'R05085', 'R08549', 'R00267', 'R00355', 'R00258', 'R04467', 'R10991', 'R00264', 'R00269', 'R02433', 'R02274', 'R10698', 'R01197', 'R00268', 'R00734', 'R00355', 'R00667', 'R02283', 'R00093', 'R08165', 'R01214', 'R03243', 'R04467', 'R10698', 'R04173', 'R00268', 'R00267', 'R08549', 'R04173', 'R00021', 'R04475', 'R01648', 'R00243', 'R02274', 'R00267', 'R04173', 'R08549', 'R00355', 'R00355', 'R00268', 'R00709', 'R02283', 'R01214', 'R01090', 'R02199', 'R08549', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00267', 'R00355', 'R02283', 'R04475', 'R04467', 'R00114', 'R03243', 'R05085', 'R01214', 'R08165', 'R00621', 'R00268', 'R11768', 'R00908', 'R01648', 'R00267', 'R04173', 'R00114', 'R00243', 'R00355', 'R00114', 'R00243', 'R01648', 'R00269', 'R04173', 'R02433', 'R02619', 'R00896', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02283', 'R00355', 'R00667', 'R05052', 'R03243', 'R00734', 'R00734', 'R00694', 'R00694', 'R01582', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R01148', 'R01582', 'R00267', 'R05085', 'R01214', 'R00621', 'R08165', 'R00734', 'R00734', 'R10698']",134,Bs
R3,α‑Ketoglutarate,Aspartate Aminotransferase,2.6.1.1,yhdR/aspB,L‑Glutamate,C00025,Reversible amination reaction.,TRUE,"['K0', 'T0', 'M0', 'I0', 'E2', 'Q3', 'P3']","['E2', 'Q3', 'P3']",R,3,7,3,"['R02619', 'R05052', 'R00895', 'R00355', 'R02433', 'R00734', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R00355', 'R02433', 'R02619', 'R00896', 'R00355', 'R05052', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00734', 'R00734']",27,"['R00768', 'R01648', 'R04173', 'R02619', 'R04475', 'R05052', 'R00667', 'R04558', 'R03243', 'R02285', 'R00239', 'R00259', 'R02283', 'R01214', 'R04463', 'R00575', 'R00494', 'R00260', 'R01684', 'R02237', 'R00253', 'R00895', 'R05085', 'R03651', 'R03905', 'R00355', 'R00258', 'R04467', 'R10991', 'R00251', 'R02433', 'R02274', 'R00245', 'R03916', 'R01072', 'R10698', 'R10089', 'R00734', 'R00355', 'R01072', 'R04463', 'R00667', 'R02283', 'R00259', 'R01214', 'R04558', 'R03243', 'R04467', 'R10698', 'R00239', 'R04173', 'R00253', 'R00575', 'R04173', 'R00253', 'R04475', 'R01648', 'R00243', 'R02274', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R01214', 'R01090', 'R02199', 'R10991', 'R01214', 'R02199', 'R01090', 'R04173', 'R00355', 'R00355', 'R00259', 'R02283', 'R00239', 'R00253', 'R04475', 'R04467', 'R03243', 'R04558', 'R00768', 'R05085', 'R01214', 'R02237', 'R04241', 'R00942', 'R05578', 'R00575', 'R10089', 'R00768', 'R00253', 'R00908', 'R01648', 'R04173', 'R00253', 'R00243', 'R01072', 'R04463', 'R00575', 'R00578', 'R00355', 'R00243', 'R01648', 'R00253', 'R00256', 'R00575', 'R00707', 'R00768', 'R01072', 'R04173', 'R02433', 'R02619', 'R10991', 'R04173', 'R01214', 'R02199', 'R04188', 'R01090', 'R02199', 'R01090', 'R01214', 'R04467', 'R04475', 'R02274', 'R00243', 'R02282', 'R02283', 'R00259', 'R00253', 'R00256', 'R00355', 'R00575', 'R00667', 'R00245', 'R00239', 'R05052', 'R02285', 'R03243', 'R04558', 'R00734', 'R00734', 'R00694', 'R00694', 'R00694', 'R00734', 'R00694', 'R00734', 'R00908', 'R00243', 'R03970', 'R03971', 'R00260', 'R03916', 'R00494', 'R00251', 'R10089', 'R05085', 'R01214', 'R04241', 'R00942', 'R02237', 'R02237', 'R00239', 'R00734', 'R00734', 'R10698', 'R03905', 'R03651', 'R04212', 'R05578']",172,Bs
R4,L‑Glutamate,N‑Acetylglutamate Synthase,2.3.1.1,argJ,N‑Acetyl-glutamate,C00624,Requires Acetyl‑CoA; committed to arginine synthesis. argA homolouge,TRUE,[],[],R,4,0,0,"['R00259', 'R00259', 'R00259', 'R00259', 'R00259']",5,"['R00259', 'R02649', 'R02649', 'R00259', 'R00259', 'R02649', 'R00259', 'R02649', 'R02282', 'R02649', 'R00259', 'R13097']",12,Bs
R5,N‑Acetyl-glutamate,N‑Acetylglutamate Kinase,2.7.2.8,argB,N‑Acetylglutamyl Phosphate,C04133,Regulatory step.,TRUE,[],[],R,5,0,0,"['R02649', 'R02649', 'R02649', 'R02649', 'R02649']",5,"['R02649', 'R03443', 'R03443', 'R02649', 'R02649', 'R03443', 'R02649', 'R03443', 'R03443', 'R02649']",10,Bs
R6,N‑Acetylglutamyl Phosphate,N‑Acetylglutamate Semialdehyde Dehydrogenase,1.2.1.38,argC,N‑Acetylglutamate Semialdehyde,C01250,–,TRUE,[],[],R,6,0,0,"['R03443', 'R03443', 'R03443', 'R03443', 'R03443']",5,"['R03443', 'R02283', 'R02283', 'R03443', 'R03443', 'R02283', 'R03443', 'R02283', 'R02283', 'R03443']",10,Bs
R7,N‑Acetylglutamate Semialdehyde,Acetylornithine Aminotransferase,2.6.1.11,argD,N‑Acetylornithine,C00437,–,TRUE,[],[],R,7,0,0,"['R02283', 'R02283', 'R02283', 'R02283', 'R02283']",5,"['R02283', 'R00669', 'R00669', 'R02283', 'R02283', 'R00669', 'R02283', 'R00669', 'R02282', 'R00669', 'R02283']",11,Bs
R8,N‑Acetylornithine,N‑Acetylornithinase,2.3.1.35,argJ,Ornithine,C00077,Ornithine is also used in polyamine synthesis.,TRUE,[],[],R,8,0,0,['R02282'],1,"['R00667', 'R01398', 'R00669', 'R00672', 'R00551', 'R00667', 'R00669', 'R00551', 'R01398', 'R00669', 'R00669', 'R01398', 'R00551', 'R02282', 'R00669', 'R00551', 'R01398', 'R00551', 'R00667', 'R00672']",20,Bs
R9,Ornithine,Ornithine Transcarbamylase,2.1.3.3,argF,Citrulline,C00327,Initiates urea cycle–like reactions.,TRUE,[],[],R,9,0,0,"['R01398', 'R01398', 'R01398', 'R01398']",4,"['R01398', 'R00552', 'R01954', 'R09107', 'R01954', 'R00552', 'R01398', 'R01398', 'R01954', 'R09107', 'R01954', 'R09107', 'R01954', 'R01398']",14,Bs
R10,Citrulline,Argininosuccinate Synthetase,6.3.4.5,argG,Argininosuccinate,C03406,–,TRUE,[],[],R,10,0,0,"['R01954', 'R01954', 'R01954', 'R01954', 'R01954']",5,"['R01086', 'R01954', 'R01954', 'R01086', 'R01954', 'R01086', 'R01954', 'R01086', 'R01086', 'R01954']",10,Bs
R11,Argininosuccinate,Argininosuccinate Lyase,4.3.2.1,argH,L‑Arginine,C00062,Final step in arginine synthesis.,TRUE,[],[],R,11,0,0,"['R01086', 'R01086', 'R01086', 'R01086', 'R01086']",5,"['R01086', 'R00552', 'R00566', 'R00567', 'R00558', 'R00551', 'R01086', 'R00552', 'R00566', 'R00551', 'R01086', 'R00551', 'R01086', 'R00551', 'R01086', 'R00566', 'R00551', 'R00567', 'R03646']",19,Bs
H0,Ribose‑5‑phosphate,PRPP Synthetase,2.7.6.1,prs,Phosphoribosyl Pyrophosphate (PRPP),C00119,PRPP is used for purine/pyrimidine synthesis as well.,FALSE,[],[],H,0,0,0,"['R01049', 'R01049', 'R01049', 'R01049', 'R01049', 'R01049', 'R01049']",7,"['R01071', 'R01073', 'R01132', 'R01229', 'R01870', 'R03348', 'R01724', 'R01049', 'R02142', 'R00966', 'R04378', 'R01072', 'R01049', 'R01073', 'R01072', 'R02142', 'R01071', 'R01049', 'R01049', 'R01049', 'R01071', 'R01073', 'R00190', 'R01132', 'R02142', 'R01229', 'R00966', 'R01724', 'R03348', 'R01870', 'R01049', 'R01049', 'R01072', 'R00190', 'R01132', 'R02142', 'R01229', 'R02142', 'R01229', 'R04378', 'R01870', 'R00966', 'R01072', 'R01071', 'R01073', 'R03348', 'R01724']",47,Bs
H1,PRPP + ATP,ATP Phosphoribosyltransferase,2.4.2.17,hisG,Phosphoribosyl‑ATP,C02739,First committed step in histidine biosynthesis.,TRUE,[],[],H,1,0,0,"['R01071', 'R01071', 'R01071', 'R01071']",4,"['R01071', 'R04035', 'R01071', 'R04035', 'R01071', 'R04035', 'R01071', 'R04035']",8,Bs
H2,Phosphoribosyl‑ATP,Phosphoribosyl‑ATP Pyrophosphatase,3.6.1.31,hisI,Phosphoribosyl‑AMP,C02741,–,TRUE,[],[],H,2,0,0,"['R04035', 'R04035', 'R04035', 'R04035']",4,"['R04035', 'R04037', 'R04035', 'R04037', 'R04035', 'R04037', 'R04037', 'R04035']",8,Bs
H3,Phosphoribosyl‑AMP,Phosphoribosyl‑AMP Cyclohydrolase,3.5.4.19,hisI,PRFAR,C04916,PRFAR = phosphoribosyl-formimino-5-aminoimidazole-4-carboxamide ribonucleotide.,TRUE,[],[],H,3,0,0,"['R04037', 'R04037', 'R04037', 'R04037']",4,"['R04640', 'R04558', 'R04640', 'R04558', 'R04640', 'R04558', 'R04640', 'R04558']",8,Bs
H4,PRFAR,Imidazole Glycerol Phosphate Isomerase,5.3.1.16,hisA,Imidazole Glycerol Phosphate (IGP),C04666,–,TRUE,[],[],H,4,0,0,"['R04640', 'R04640', 'R04640', 'R04640']",4,"['R04558', 'R03457', 'R04558', 'R03457', 'R03457', 'R04558', 'R03457', 'R04558']",8,Bs
